officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl,sourcePdfPages
IQDENT-INSTRUMENT-16-01,IQ Dent,IQdent Sp. z o.o.,IQ Dent ALLEN PERIOSTEAL ELEVATOR,16-01,16-01,1,IQ Dent / Hand instruments / Surgical instruments,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/AKTUALNY_KATALOG_IQ_03.01_web.pdf,34
IQDENT-INSTRUMENT-16-06,IQ Dent,IQdent Sp. z o.o.,IQ Dent ALVEOLAR CURETTE,16-06,16-06,1,IQ Dent / Hand instruments / Surgical instruments,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/AKTUALNY_KATALOG_IQ_03.01_web.pdf,35
IQDENT-INSTRUMENT-16-07,IQ Dent,IQdent Sp. z o.o.,IQ Dent ALVEOLAR CURETTE,16-07,16-07,1,IQ Dent / Hand instruments / Surgical instruments,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/AKTUALNY_KATALOG_IQ_03.01_web.pdf,35
IQDENT-INSTRUMENT-16-10,IQ Dent,IQdent Sp. z o.o.,IQ Dent ALVEOLAR CURETTE,16-10,16-10,1,IQ Dent / Hand instruments / Surgical instruments,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/AKTUALNY_KATALOG_IQ_03.01_web.pdf,35
IQDENT-INSTRUMENT-16-11,IQ Dent,IQdent Sp. z o.o.,IQ Dent ALVEOLAR CURETTE,16-11,16-11,1,IQ Dent / Hand instruments / Surgical instruments,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/AKTUALNY_KATALOG_IQ_03.01_web.pdf,36
IQDENT-INSTRUMENT-04-25,IQ Dent,IQdent Sp. z o.o.,IQ Dent BALL PLUGGER WITH COMPOSITE APPLICATOR,04-25,04-25,2,IQ Dent / Hand instruments / Composite instruments,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/AKTUALNY_KATALOG_IQ_03.01_web.pdf,17
IQDENT-INSTRUMENT-16-02,IQ Dent,IQdent Sp. z o.o.,IQ Dent BUSER PERIOSTEAL ELEVATOR,16-02,16-02,1,IQ Dent / Hand instruments / Surgical instruments,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/AKTUALNY_KATALOG_IQ_03.01_web.pdf,34
IQDENT-INSTRUMENT-12-01,IQ Dent,IQdent Sp. z o.o.,IQ Dent CANAL ORIFICE LOCATOR,12-01,12-01,1,IQ Dent / Hand instruments / Endodontic instruments,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/AKTUALNY_KATALOG_IQ_03.01_web.pdf,30
IQDENT-CB1,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB1,CB1,CB1,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,25
IQDENT-CB141,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB141,CB141,CB141,1,IQ Dent / Surgical Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,40
IQDENT-CB141A,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB141A,CB141A,CB141A,1,IQ Dent / Surgical Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,40
IQDENT-CB151,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB151,CB151,CB151,1,IQ Dent / Surgical Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,40
IQDENT-CB161,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB161,CB161,CB161,1,IQ Dent / Surgical Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,40
IQDENT-CB162,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB162,CB162,CB162,1,IQ Dent / Surgical Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,40
IQDENT-CB162A,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB162A,CB162A,CB162A,1,IQ Dent / Surgical Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,41
IQDENT-CB165,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB165,CB165,CB165,1,IQ Dent / Surgical Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,41
IQDENT-CB166,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB166,CB166,CB166,1,IQ Dent / Surgical Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,41
IQDENT-CB1S,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB1S,CB1S,CB1S,1,IQ Dent / Crown Cutters,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,7 | 25
IQDENT-CB1SN,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB1SN,CB1SN,CB1SN,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,26
IQDENT-CB1SNX,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB1SNX,CB1SNX,CB1SNX,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,26
IQDENT-CB1SX,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB1SX,CB1SX,CB1SX,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,26
IQDENT-CB2,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB2,CB2,CB2,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,27
IQDENT-CB21,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB21,CB21,CB21,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,27
IQDENT-CB21L,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB21L,CB21L,CB21L,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,27
IQDENT-CB21R,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB21R,CB21R,CB21R,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,27
IQDENT-CB21RMX,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB21RMX,CB21RMX,CB21RMX,1,IQ Dent / Crown Cutters,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,38
IQDENT-CB23,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB23,CB23,CB23,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,28
IQDENT-CB23L,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB23L,CB23L,CB23L,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,28
IQDENT-CB255E,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB255E,CB255E,CB255E,1,IQ Dent / Surgical Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,41
IQDENT-CB31,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB31,CB31,CB31,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,28
IQDENT-CB31R,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB31R,CB31R,CB31R,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,29
IQDENT-CB33,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB33,CB33,CB33,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,29
IQDENT-CB33L,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB33L,CB33L,CB33L,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,29
IQDENT-CB33R,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB33R,CB33R,CB33R,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,29
IQDENT-CB37,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB37,CB37,CB37,1,IQ Dent / Crown Cutters,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,38
IQDENT-CB5CK,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB5CK,CB5CK,CB5CK,1,IQ Dent / Crown Cutters,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,37
IQDENT-CB7L,IQ Dent,IQdent Sp. z o.o.,IQ Dent CB7L,CB7L,CB7L,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,27
IQDENT-CF141,IQ Dent,IQdent Sp. z o.o.,IQ Dent CF141,CF141,CF141,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,33
IQDENT-CF141UF,IQ Dent,IQdent Sp. z o.o.,IQ Dent CF141UF,CF141UF,CF141UF,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,33
IQDENT-CF142,IQ Dent,IQdent Sp. z o.o.,IQ Dent CF142,CF142,CF142,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,33
IQDENT-CF142UF,IQ Dent,IQdent Sp. z o.o.,IQ Dent CF142UF,CF142UF,CF142UF,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,33
IQDENT-CF198,IQ Dent,IQdent Sp. z o.o.,IQ Dent CF198,CF198,CF198,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,33
IQDENT-CF198UF,IQ Dent,IQdent Sp. z o.o.,IQ Dent CF198UF,CF198UF,CF198UF,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,33
IQDENT-CF199,IQ Dent,IQdent Sp. z o.o.,IQ Dent CF199,CF199,CF199,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,33
IQDENT-CF199UF,IQ Dent,IQdent Sp. z o.o.,IQ Dent CF199UF,CF199UF,CF199UF,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,33
IQDENT-CF246,IQ Dent,IQdent Sp. z o.o.,IQ Dent CF246,CF246,CF246,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,34
IQDENT-CF246UF,IQ Dent,IQdent Sp. z o.o.,IQ Dent CF246UF,CF246UF,CF246UF,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,34
IQDENT-CF247,IQ Dent,IQdent Sp. z o.o.,IQ Dent CF247,CF247,CF247,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,34
IQDENT-CF283,IQ Dent,IQdent Sp. z o.o.,IQ Dent CF283,CF283,CF283,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,34
IQDENT-CF379,IQ Dent,IQdent Sp. z o.o.,IQ Dent CF379,CF379,CF379,1,IQ Dent / Finishing Instruments,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,35
IQDENT-CF379F,IQ Dent,IQdent Sp. z o.o.,IQ Dent CF379F,CF379F,CF379F,1,IQ Dent / Finishing Instruments,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,35
IQDENT-CF379UF,IQ Dent,IQdent Sp. z o.o.,IQ Dent CF379UF,CF379UF,CF379UF,1,IQ Dent / Finishing Instruments,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,35
IQDENT-CF390F,IQ Dent,IQdent Sp. z o.o.,IQ Dent CF390F,CF390F,CF390F,1,IQ Dent / Finishing Instruments,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,35
IQDENT-CF41,IQ Dent,IQdent Sp. z o.o.,IQ Dent CF41,CF41,CF41,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,31
IQDENT-CF48L,IQ Dent,IQdent Sp. z o.o.,IQ Dent CF48L,CF48L,CF48L,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,31
IQDENT-CF48LF,IQ Dent,IQdent Sp. z o.o.,IQ Dent CF48LF,CF48LF,CF48LF,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,31
IQDENT-CF48LUF,IQ Dent,IQdent Sp. z o.o.,IQ Dent CF48LUF,CF48LUF,CF48LUF,1,IQ Dent / Carbide Burs,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/iqdent_katalog_web.pdf,31
IQDENT-INSTRUMENT-04-02,IQ Dent,IQdent Sp. z o.o.,IQ Dent COMPOSITE APPLICATOR WITH DROP-SHAPED PLUGGER,04-02,04-02,1,IQ Dent / Hand instruments / Composite instruments,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/AKTUALNY_KATALOG_IQ_03.01_web.pdf,15
IQDENT-INSTRUMENT-04-03,IQ Dent,IQdent Sp. z o.o.,IQ Dent COMPOSITE APPLICATOR WITH DROP-SHAPED PLUGGER,04-03,04-03,1,IQ Dent / Hand instruments / Composite instruments,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/AKTUALNY_KATALOG_IQ_03.01_web.pdf,15
IQDENT-INSTRUMENT-04-09,IQ Dent,IQdent Sp. z o.o.,IQ Dent COMPOSITE APPLICATOR WITH LARGE BALL PLUGGER,04-09,04-09,1,IQ Dent / Hand instruments / Composite instruments,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/AKTUALNY_KATALOG_IQ_03.01_web.pdf,16
IQDENT-INSTRUMENT-04-04,IQ Dent,IQdent Sp. z o.o.,IQ Dent COMPOSITE APPLICATOR WITH PLUGGER,04-04,04-04,1,IQ Dent / Hand instruments / Composite instruments,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://iqdent.pl/wp-content/uploads/2025/01/AKTUALNY_KATALOG_IQ_03.01_web.pdf,15
